,date1,date2,date3,date4
0,2013-01-02,2013-12-31,2014-01-03,2014-06-30
1,2013-02-01,2014-01-31,2014-02-03,2014-07-31
2,2013-03-01,2014-02-28,2014-03-03,2014-08-29
3,2013-04-02,2014-03-31,2014-04-01,2014-09-30
4,2013-05-01,2014-04-30,2014-05-01,2014-10-31
5,2013-06-03,2014-05-30,2014-06-02,2014-11-28
6,2013-07-01,2014-06-30,2014-07-01,2014-12-31
7,2013-08-01,2014-07-31,2014-08-01,2015-01-30
8,2013-09-02,2014-08-29,2014-09-01,2015-02-27
9,2013-10-01,2014-09-30,2014-10-01,2015-03-31
10,2013-11-01,2014-10-31,2014-11-03,2015-04-30
11,2013-12-02,2014-11-28,2014-12-01,2015-05-29
12,2014-01-03,2014-12-31,2015-01-02,2015-06-30
13,2014-02-03,2015-01-30,2015-02-02,2015-07-31
14,2014-03-03,2015-02-27,2015-03-02,2015-08-28
15,2014-04-01,2015-03-31,2015-04-01,2015-09-30
16,2014-05-01,2015-04-30,2015-05-01,2015-10-30
17,2014-06-02,2015-05-29,2015-06-01,2015-11-30
18,2014-07-01,2015-06-30,2015-07-01,2015-12-31
19,2014-08-01,2015-07-31,2015-08-03,2016-01-29
20,2014-09-01,2015-08-28,2015-09-01,2016-02-29
21,2014-10-01,2015-09-30,2015-10-01,2016-03-31
22,2014-11-03,2015-10-30,2015-11-02,2016-04-29
23,2014-12-01,2015-11-30,2015-12-01,2016-05-31
24,2015-01-02,2015-12-31,2016-01-04,2016-06-30
25,2015-02-02,2016-01-29,2016-02-01,2016-07-29
26,2015-03-02,2016-02-29,2016-03-01,2016-08-31
27,2015-04-01,2016-03-31,2016-04-01,2016-09-30
28,2015-05-01,2016-04-29,2016-05-03,2016-10-31
29,2015-06-01,2016-05-31,2016-06-01,2016-11-30
30,2015-07-01,2016-06-30,2016-07-01,2016-12-30
31,2015-08-03,2016-07-29,2016-08-01,2017-01-31
32,2015-09-01,2016-08-31,2016-09-01,2017-02-28
33,2015-10-01,2016-09-30,2016-10-03,2017-03-31
34,2015-11-02,2016-10-31,2016-11-01,2017-04-28
35,2015-12-01,2016-11-30,2016-12-01,2017-05-31
36,2016-01-04,2016-12-30,2017-01-03,2017-06-30
37,2016-02-01,2017-01-31,2017-02-01,2017-07-31
38,2016-03-01,2017-02-28,2017-03-01,2017-08-31
39,2016-04-01,2017-03-31,2017-04-03,2017-09-29
40,2016-05-03,2017-04-28,2017-05-02,2017-10-31
41,2016-06-01,2017-05-31,2017-06-01,2017-11-30
42,2016-07-01,2017-06-30,2017-07-03,2017-12-29
43,2016-08-01,2017-07-31,2017-08-01,2018-01-31
44,2016-09-01,2017-08-31,2017-09-01,2018-02-28
45,2016-10-03,2017-09-29,2017-10-02,2018-03-29
46,2016-11-01,2017-10-31,2017-11-01,2018-04-30
47,2016-12-01,2017-11-30,2017-12-01,2018-05-31
48,2017-01-03,2017-12-29,2018-01-03,2018-06-29
49,2017-02-01,2018-01-31,2018-02-01,2018-07-31
50,2017-03-01,2018-02-28,2018-03-01,2018-08-31
51,2017-04-03,2018-03-29,2018-04-03,2018-09-28
52,2017-05-02,2018-04-30,2018-05-01,2018-10-31
53,2017-06-01,2018-05-31,2018-06-01,2018-11-30
54,2017-07-03,2018-06-29,2018-07-02,2018-12-31
55,2017-08-01,2018-07-31,2018-08-01,2019-01-31
56,2017-09-01,2018-08-31,2018-09-03,2019-02-28
57,2017-10-02,2018-09-28,2018-10-01,2019-03-29
58,2017-11-01,2018-10-31,2018-11-01,2019-04-30
59,2017-12-01,2018-11-30,2018-12-03,2019-05-31
60,2018-01-03,2018-12-31,2019-01-03,2019-06-28
61,2018-02-01,2019-01-31,2019-02-01,2019-07-31
62,2018-03-01,2019-02-28,2019-03-01,2019-08-30
63,2018-04-03,2019-03-29,2019-04-01,2019-09-30
64,2018-05-01,2019-04-30,2019-05-01,2019-10-31
65,2018-06-01,2019-05-31,2019-06-03,2019-11-29
66,2018-07-02,2019-06-28,2019-07-01,2019-12-31
67,2018-08-01,2019-07-31,2019-08-01,2020-01-31
68,2018-09-03,2019-08-30,2019-09-02,2020-02-28
69,2018-10-01,2019-09-30,2019-10-01,2020-03-31
70,2018-11-01,2019-10-31,2019-11-01,2020-04-30
71,2018-12-03,2019-11-29,2019-12-02,2020-05-29
72,2019-01-03,2019-12-31,2020-01-03,2020-06-30
73,2019-02-01,2020-01-31,2020-02-03,2020-07-31
74,2019-03-01,2020-02-28,2020-03-02,2020-08-28
75,2019-04-01,2020-03-31,2020-04-01,2020-09-30
76,2019-05-01,2020-04-30,2020-05-01,2020-10-30
77,2019-06-03,2020-05-29,2020-06-01,2020-11-30
78,2019-07-01,2020-06-30,2020-07-01,2020-12-31
79,2019-08-01,2020-07-31,2020-08-03,2021-01-29
80,2019-09-02,2020-08-28,2020-09-01,2021-02-26
81,2019-10-01,2020-09-30,2020-10-01,2021-03-31
82,2019-11-01,2020-10-30,2020-11-02,2021-04-30
83,2019-12-02,2020-11-30,2020-12-01,2021-05-28
84,2020-01-03,2020-12-31,2021-01-04,2021-06-30
85,2020-02-03,2021-01-29,2021-02-01,2021-07-30
86,2020-03-02,2021-02-26,2021-03-01,2021-08-31
87,2020-04-01,2021-03-31,2021-04-01,2021-09-30
88,2020-05-01,2021-04-30,2021-05-04,2021-10-29
89,2020-06-01,2021-05-28,2021-06-01,2021-11-30
90,2020-07-01,2021-06-30,2021-07-01,2021-12-31
91,2020-08-03,2021-07-30,2021-08-02,2022-01-31
92,2020-09-01,2021-08-31,2021-09-01,2022-02-28
93,2020-10-01,2021-09-30,2021-10-01,2022-03-31
94,2020-11-02,2021-10-29,2021-11-01,2022-04-29
95,2020-12-01,2021-11-30,2021-12-01,2022-05-31
96,2021-01-04,2021-12-31,2022-01-04,2022-06-30
97,2021-02-01,2022-01-31,2022-02-01,2022-07-29
98,2021-03-01,2022-02-28,2022-03-01,2022-08-31
99,2021-04-01,2022-03-31,2022-04-01,2022-09-30
100,2021-05-04,2022-04-29,2022-05-03,2022-10-31
